timestamp,phase,url,error_type,message
2026-07-02 00:55:34,phase4a_green,https://www.green-japan.com,ROBOTS_SKIP,Disallowed by robots.txt: /search
2026-07-02 01:13:03,phase4a_green,https://www.green-japan.com,ROBOTS_SKIP,Disallowed by robots.txt: /search
2026-07-02 01:13:44,phase4a_wantedly,https://www.wantedly.com/projects?keyword=SES%E5%96%B6%E6%A5%AD&page=2,CAPTCHA,Direct search blocked; switching to Bing
2026-07-02 01:20:40,phase4a_stanby,https://jp.stanby.com/search?q=SES%E5%96%B6%E6%A5%AD&page=1,CAPTCHA,Direct search blocked; switching to Bing
2026-07-02 02:06:05,phase4c,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%B7%E3%83%A3%E3%83%AB%E3%83%A0+%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88&hl=ja&start=0,CAPTCHA,Google blocked; switching to Bing
2026-07-02 02:06:05,phase4c,株式会社シャルム,NO_HP,official site not found
2026-07-02 02:06:18,phase4c,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%A4%E3%83%B3%E3%83%88%E3%82%A5+%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88&hl=ja&start=0,CAPTCHA,Google blocked; switching to Bing
2026-07-02 02:06:18,phase4c,株式会社イントゥ,NO_HP,official site not found
2026-07-02 02:06:31,phase4c,https://www.google.com/search?q=%E5%90%88%E5%90%8C%E4%BC%9A%E7%A4%BE%E3%82%B7%E3%82%B9%E3%83%88%E3%83%AA%E3%83%BC+%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88&hl=ja&start=0,CAPTCHA,Google blocked; switching to Bing
2026-07-02 02:06:31,phase4c,合同会社シストリー,NO_HP,official site not found
