page_id,title,anomaly,detail
38a450ff-37c0-8167-9370-e732b1b379d8,スマホアプリ・Webサイト保守開発案件,rate_zero,rate=0
38a450ff-37c0-8166-bbf3-caa8b39e4563,RHEL 3年5カ月/AWS CLI/Shell Script/VMware,rate_zero,rate=0
38a450ff-37c0-819b-9da4-fd8998a20281,海外向けSaaS開発｜Go×PostgreSQL×AI活用エンジニア募集,rate_zero,rate=0
38a450ff-37c0-81d0-a464-dbb9a0837df1,銀行向けパッケージ導入／Java SEクラス／リモート,rate_zero,rate=0
38a450ff-37c0-81d1-83eb-da2f5ecbcf5c,POSITIVE案件,rate_zero,rate=0
38a450ff-37c0-8122-a442-dfad12c28f06,住宅ローン関連システム開発(ミドルウェア),rate_zero,rate=0
38a450ff-37c0-814d-984d-f1851ff77925,モバイルアプリ開発におけるUnity(spine)を用いたアニメーション制作,rate_zero,rate=0
38a450ff-37c0-8175-b820-cc31facc85bf,ネットワーク設計構築案件,rate_zero,rate=0
38a450ff-37c0-813d-8059-d0593c067eaf,福岡プロパー案件急募：開発/テスト/運用保守,skill_no_number_but_man_in_text,40万
389450ff-37c0-81af-9b00-eb22d189cf2b,データアナリスト案件募集,rate_zero,rate=0
389450ff-37c0-81e6-b086-d2dd8db17c50,バックエンドエンジニア募集（Laravel）,rate_zero,rate=0
389450ff-37c0-81de-be2c-e565c124df94,福岡案件募集！バグ票起票・環境構築補助〜AIツール活用,skill_no_number_but_man_in_text,35万
389450ff-37c0-81a0-93ac-c08b26a6f395,販売／アプリ維持・保守,rate_zero,rate=0
388450ff-37c0-8124-8055-d37af196732b,福岡プロパー案件急募,skill_no_number_but_man_in_text,40万
388450ff-37c0-8175-9eaf-dc9ea29bb102,福岡案件募集：バグ票起票・環境構築補助〜AIツール活用,skill_no_number_but_man_in_text,35万
388450ff-37c0-811e-a57b-d8f0310f4b2e,福岡プロパー：開発/テスト/運用保守案件,skill_no_number_but_man_in_text,40万
388450ff-37c0-819d-aed9-c8345b1c5f29,省庁向けネットワーク運用設計支援,rate_zero,rate=0
388450ff-37c0-819d-8bce-de14c3983494,フロントエンド開発経験者募集,rate_zero,rate=0
388450ff-37c0-81cf-8f90-d16ed8d28667,生成AI・LLM活用Webアプリ開発,rate_zero,rate=0
387450ff-37c0-812f-aeea-cc03e853b48c,証券システム開発,rate_zero,rate=0
387450ff-37c0-8118-affd-ede62b96012b,福岡プロパー案件募集（開発/テスト/運用保守）,skill_no_number_but_man_in_text,40万
384450ff-37c0-816f-a496-f2ec3123d1fa,大手自動車会社様向け開発案件,rate_zero,rate=0
374450ff-37c0-8107-8d5c-e74068af527c,Python若手案件,rate_zero,rate=0
372450ff-37c0-81bc-9fba-e35d4d4498d7,地方銀行向け印鑑システム開発,skill_no_number_but_man_in_text,60万
